model,project,ablation,total_covered_lines,total_missed_lines,total_covered_branches,total_missed_branches,total_line_coverage,total_branch_coverage,total_lines,total_branches,compilable_covered_lines,compilable_missed_lines,compilable_covered_branches,compilable_missed_branches,compilable_line_coverage,compilable_branch_coverage,error_reasons
gemma3_4b,JxPath,full,6,-1,0,-1,0.045454545454545456,0.0,132,104,6,-1,0,-1,1.0,0.0,"{'cannot compile': 14, 'parameter tuple not found': 7, 'success': 6, 'unknown: method remove not found in org/apache/commons/jxpath/ri/compiler/org/apache/comm': 1}"
gemma3_4b,Cli,full,3,-1,0,-1,0.022058823529411766,0.0,136,78,3,-1,0,-1,1.0,0.0,"{'cannot compile': 12, 'parameter tuple not found': 3, 'success': 1}"
gemma3_4b,Math,full,176,-1,68,-1,0.09544468546637744,0.07135362014690451,1844,953,176,-1,68,-1,0.40930232558139534,0.35789473684210527,"{'cannot compile': 65, 'success': 54, 'parameter tuple not found': 8, 'unknown: method isFeasible not found in org/apache/commons/math3/optimization/direct/org/': 1, 'unknown: method repairAndDecode not found in org/apache/commons/math3/optimization/direct': 1}"
gemma3_4b,Csv,full,3,-1,1,-1,0.06976744186046512,0.03125,43,32,3,-1,1,-1,0.1875,0.0625,"{'cannot compile': 6, 'success': 2, 'unknown: method remove not found in org/apache/commons/csv/org/apache/commons/csv/CSVPars': 1}"
gemma3_4b,Compress,full,84,-1,58,-1,0.09251101321585903,0.08656716417910448,908,670,84,-1,58,-1,0.5526315789473685,0.4027777777777778,"{'cannot compile': 30, 'success': 13, 'unknown: method DumpArchiveInputStream not found in org/apache/commons/compress/archivers': 1, 'parameter tuple not found': 1}"
gemma3_4b,JacksonDatabind,full,20,-1,5,-1,0.024721878862793572,0.009259259259259259,809,540,20,-1,5,-1,0.273972602739726,0.10416666666666667,"{'cannot compile': 55, 'parameter tuple not found': 40, 'success': 9, 'unknown: method serialize not found in com/fasterxml/jackson/databind/ser/std/com/fasterx': 6, 'unknown: method useForType not found in com/fasterxml/jackson/databind/com/fasterxml/jack': 2, 'unknown: method deserialize not found in com/fasterxml/jackson/databind/deser/std/com/fas': 2, 'unknown: method build not found in com/fasterxml/jackson/databind/deser/impl/com/fasterxm': 2, 'unknown: method createContextual not found in com/fasterxml/jackson/databind/ser/std/com/': 1, 'unknown: method isEmpty not found in com/fasterxml/jackson/databind/ser/std/com/fasterxml': 1, 'unknown: method getEmptyValue not found in com/fasterxml/jackson/databind/deser/std/com/f': 1, 'unknown: method handleResolvedForwardReference not found in com/fasterxml/jackson/databin': 1, 'unknown: method toString not found in com/fasterxml/jackson/databind/type/com/fasterxml/j': 1, 'unknown: method writeCustomTypeSuffixForArray not found in com/fasterxml/jackson/databind': 1, 'unknown: method getDescription not found in com/fasterxml/jackson/databind/com/fasterxml/': 1, 'unknown: method deserializeKey not found in com/fasterxml/jackson/databind/deser/std/com/': 1}"
gemma3_4b,Time,full,171,-1,55,-1,0.38084632516703787,0.23504273504273504,449,234,151,-1,51,-1,0.578544061302682,0.3591549295774648,"{'success': 18, 'cannot compile': 15, 'parameter tuple not found': 3, 'unknown: method printTo not found in org/joda/time/format/org/joda/time/format/PeriodForm': 2, 'unknown: method add not found in org/joda/time/chrono/org/joda/time/chrono/GJChronology/I': 2, 'unknown: method parseInto not found in org/joda/time/format/org/joda/time/format/DateTime': 1, 'unknown: method roundCeiling not found in org/joda/time/chrono/org/joda/time/chrono/Zoned': 1}"
gemma3_4b,Collections,full,0,-1,0,-1,0.0,0.0,6,0,0,-1,0,-1,0.0,0.0,"{'cannot compile': 3, 'unknown: method clear not found in org/apache/commons/collections4/trie/org/apache/common': 1}"
gemma3_4b,JacksonXml,full,0,-1,0,-1,0.0,0.0,148,71,0,-1,0,-1,0.0,0.0,{'cannot compile': 3}
gemma3_4b,JacksonCore,full,6,-1,6,-1,0.011450381679389313,0.016042780748663103,524,374,6,-1,6,-1,0.23076923076923078,0.25,"{'cannot compile': 36, 'success': 4}"
